id,id_investment,vdate,unitvalue,original_currency,original_unitvalue,isin,id_user,investment_id
119,2,2024-07-31,71.5,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B466KX20,5,2
125,2,2024-08-01,70.98,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B466KX20,5,2
131,2,2024-08-02,68.43,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B466KX20,5,2
137,2,2024-08-05,65.92,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B466KX20,5,2
143,2,2024-08-06,66.43,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B466KX20,5,2
149,2,2024-08-07,68.13,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B466KX20,5,2
155,2,2024-08-08,68.58,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B466KX20,5,2
161,2,2024-08-09,68.79,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B466KX20,5,2
167,2,2024-08-12,69.16,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B466KX20,5,2
173,2,2024-08-14,68.86,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B466KX20,5,2
179,2,2024-08-15,69.71,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B466KX20,5,2
185,2,2024-08-16,70.33,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B466KX20,5,2
191,2,2024-08-19,70.59,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B466KX20,5,2
197,2,2024-08-22,69.67,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B466KX20,5,2
203,2,2024-08-23,70.29,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B466KX20,5,2
5,6,2024-07-11,543.06,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B5BMR087,5,6
12,6,2024-07-12,545.14,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B5BMR087,5,6
19,6,2024-07-15,546.92,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B5BMR087,5,6
26,6,2024-07-16,547.78,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B5BMR087,5,6
33,6,2024-07-17,541.08,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B5BMR087,5,6
61,6,2024-07-18,537.8,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B5BMR087,5,6
68,6,2024-07-19,534.56,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B5BMR087,5,6
73,6,2024-07-20,534.56,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B5BMR087,5,6
78,6,2024-07-22,536.78,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B5BMR087,5,6
85,6,2024-07-23,542.66,"{'id': 'EUR', 'symbol': '€', 'prefix': False, 'crypto': False, 'precision': 2, 'marketcap': None, 'datetime': None, 'name': 'Euro'}",,IE00B5BMR087,5,6
